0,1,2,3,4,5,6,7,tot
-0.0,-19.48515,-11.65193333,-10.0017,-27.35128333,-1.168666667,-126.83408329999999,0.0,-196.49281662699997
-0.0,-13.0,-13.0,-2.166733333,-11.48345,-11.91675,-124.9178,0.0,-176.484733333
-0.0,-13.0,-11.48345,-12.78335,-12.1334,-12.5667,-164.9168333,0.0,-226.88373330000002
-0.0,-10.4002,-9.9669,-11.91675,-12.78335,-13.0,-187.7667667,0.0,-245.83396670000002
-0.0,-12.78335,-12.5667,-4.550133333,-11.2668,-13.0,-144.4168833,0.0,-198.583866633
-0.0,-11.2668,-11.7001,-0.0,-9.750166667,-11.91675,-157.0006,0.0,-201.63441666699998
-0.0,-4.116766667,-8.016716667,-0.0,-0.0,-3.0334,-188.00025,0.0,-203.167133334
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-232.20065,-615.8811092,-848.0817592
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-244.83351669999996,0.0,-244.83351669999996
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-306.28425,0.0,-306.28425
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-319.3673833,0.0,-319.3673833
-0.0,-1.67e-05,-0.0,-0.0,-0.0,-0.0,-305.90105,0.0,-305.9010667
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1746.1671642999997,1746.1671642999997
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2868.388683297,2868.388683297
0.0,0.0,0.0,0.0,0.0,0.0,0.0,4278.497850029999,4278.497850029999
0.0,0.0,0.0,0.0,0.0,0.0,0.0,4591.64131893,4591.64131893
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2637.563283333,2637.563283333
-0.0,-0.0,-0.0,-0.0,-0.0,-0.000283333,-401.9180333,0.0,-401.918316633
-0.0,-0.000433333,-31.36811667,-10.4001,-3.33e-05,-1.168966667,-422.7509,0.0,-465.68854997
-121.3333333,-11.73535,-17.7023,-13.31806667,-8.8673,-4.703116667,-347.5684167,0.0,-525.227883337
-1236.434833,-38.15311667,-10.96926667,-27.58556667,-20.80255,-34.4193,-204.1858833,0.0,-1572.5505163100001
-1602.6669,-29.10328333,-15.25391667,-37.71958333,-42.68678333,-39.10311667,-294.63455,0.0,-2061.1681333300003
-1336.001083,-59.83635,-45.73618333,-64.8516,-36.83626667,-43.5694,-234.1512833,0.0,-1820.9821663
-1326.0,-28.97053333,-15.719733329999999,-27.00255,-10.41815,-19.6524,-139.6011833,0.0,-1567.36454996
-0.0,-2.134966667,-2.568116667,-19.61861667,-7.001616667,-12.78506667,-160.7009667,0.0,-204.80935004100002
-0.0,-10.40006667,-11.7001,-10.8335,-6.0667,-12.78335,-154.0004167,0.0,-205.78413336999998
-0.0,-11.2668,-12.5667,-12.78335,-13.0,-12.35005,-169.7501667,0.0,-231.71706669999998
-0.0,-12.5667,-13.0,-12.78335,-13.0,-13.0,-178.7673667,0.0,-243.1174167
-0.0,-5.633383333,-11.48345,-12.1334,-11.48345,-13.0,-188.40025,0.0,-242.133933333
-0.0,-0.0,-2.600016667,-6.716783333,-3.33e-05,-12.5667,-204.9502167,0.0,-226.83375
-0.0,-0.0,-0.0,-0.0,-0.0,-7.150133333,-197.3504833,0.0,-204.50061663300002
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-195.41715,0.0,-195.41715
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-301.2684333,0.0,-301.2684333
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-375.8514,0.0,-375.8514
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-381.0185833,0.0,-381.0185833
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2714.6799953670006,2714.6799953670006
0.0,0.0,0.0,0.0,0.0,0.0,0.0,6826.692931753001,6826.692931753001
0.0,0.0,0.0,0.0,0.0,0.0,0.0,6227.404350033,6227.404350033
0.0,0.0,0.0,0.0,0.0,0.0,0.0,5226.99770003,5226.99770003
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3752.9819332999996,3752.9819332999996
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1790.5393422669997,1790.5393422669997
-0.0,-1.633816667,-1.67e-05,-4.0,-0.0,-3.0669,-331.78445,0.0,-340.485183367
-0.0,-5.467366667,-8.884533333,-4.000816667,-4.867133333,-1.801933333,-357.1017167,0.0,-382.123500033
-133.0333333,-52.38561667,-14.98548333,-19.10223333,-16.61731667,-7.068366667,-331.2519833,0.0,-574.444333267
-1311.001717,-32.7869,-17.95373333,-28.30223333,-22.30191667,-42.83548333,-226.61965,0.0,-1681.8016336600003
-1619.3334,-18.77081667,-30.76985,-41.17025,-62.03611667,-62.70236667000001,-196.7359167,0.0,-2031.5187167099996
-1401.000467,-69.63641667,-47.28648333,-58.98653333,-20.0364,-34.78618333,-341.9178167,0.0,-1973.65030036
-1326.0,-8.86885,-2.768366667,-14.66941667,-21.98475,-23.08648333,-265.6348667,0.0,-1663.012733367
-0.0,-5.201666667,-11.48491667,-13.33476667,-4.401816667,-0.0019,-156.9168167,0.0,-191.341883374
-0.0,-11.91675,-12.35005,-1.733433333,-10.8335,-1.516716667,-168.7169333,0.0,-207.0673833
-0.0,-11.2668,-11.7001,-11.91675,-13.0,-12.78335,-123.3336,0.0,-184.00060000000002
-0.0,-13.0,-13.0,-11.7001,-13.0,-9.1003,-181.9504667,0.0,-241.7508667
-0.0,-13.0,-10.8335,-10.8335,-13.0,-12.1334,-197.1666667,0.0,-256.96706670000003
-0.0,-10.61685,-3.68335,-7.366683333,-10.40015,-1.300083333,-195.8667667,0.0,-229.233883366
-0.0,-4.76675,-0.0,-0.0,-0.0,-0.0,-183.2668333,0.0,-188.0335833
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-222.784,0.0,-222.784
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-225.9683,0.0,-225.9683
0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.90217343300077,350.90217343300077
0.0,0.0,0.0,0.0,0.0,0.0,0.0,5830.030697499999,5830.030697499999
0.0,0.0,0.0,0.0,0.0,0.0,0.0,7253.1144776,7253.1144776
0.0,0.0,0.0,0.0,0.0,0.0,0.0,6170.09857564,6170.09857564
0.0,0.0,0.0,0.0,0.0,0.0,0.0,6823.422800040001,6823.422800040001
0.0,0.0,0.0,0.0,0.0,0.0,0.0,6017.5466833,6017.5466833
0.0,0.0,0.0,0.0,0.0,0.0,0.0,4448.281683333,4448.281683333
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1542.2623024330003,1542.2623024330003
-0.0,-2.36705,-0.0,-3.33e-05,-3.7334,-3.666766667,-344.7844833,0.0,-354.551733267
-0.0,-8.167816667,-5.634233333,-12.5518,-8.283733333,-9.851083333,-392.35145,0.0,-436.840116666
-202.8002333,-15.317900000000002,-16.66736667,-19.2027,-16.78541667,-24.08383333,-346.5188167,0.0,-641.37626667
-1435.767317,-14.61925,-16.5026,-25.43621667,-72.00241667,-26.58535,-306.6680667,0.0,-1897.5812170400002
-1579.3338,-41.58576667,-47.66975,-45.03618333,-48.70295,-46.40365,-442.50055,0.0,-2251.2326500000004
-1374.3346,-45.93605,-29.63598333,-55.90271667,-19.32023333,-14.83791667,-261.9857167,0.0,-1801.9532167
-1123.633333,-4.668,-18.27041667,-47.50248333,-2.08605,-34.77085,-243.4018833,0.0,-1474.3330162999998
-0.0,-0.002016667,-10.16805,-10.8354,-9.084916667,-15.451683330000002,-168.0006,0.0,-213.542666664
-0.0,-0.650083333,-9.1003,-10.61685,-13.0,-11.91675,-181.0336333,0.0,-226.317616633
-0.0,-11.2668,-12.78335,-11.91675,-13.0,-13.0,-177.0834833,0.0,-239.05038330000002
-0.0,-13.0,-11.2668,-11.2668,-6.9338,-13.0,-182.4502333,0.0,-237.9176333
-0.0,-12.1334,-12.1334,-6.50005,-9.9669,-13.0,-173.6834667,0.0,-227.41721669999998
-0.0,-0.216783333,-10.40008333,-0.0,-11.7001,-11.05015,-177.41675,0.0,-210.78386666300003
-0.0,-0.0,-0.0,-0.0,-7.15045,-8.8836,-134.0341167,0.0,-150.0681667
-0.0,-0.0,-0.0,-0.0,-2.3835,-0.0,-193.0007833,0.0,-195.3842833
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-241.91795,0.0,-241.91795
0.0,0.0,0.0,0.0,0.0,0.0,0.0,650.2100891659989,650.2100891659989
0.0,0.0,0.0,0.0,0.0,0.0,0.0,4468.782144,4468.782144
0.0,0.0,0.0,0.0,0.0,0.0,0.0,4721.2759356999995,4721.2759356999995
0.0,0.0,0.0,0.0,0.0,0.0,0.0,5604.324087837001,5604.324087837001
0.0,0.0,0.0,0.0,0.0,0.0,0.0,5899.820666634,5899.820666634
0.0,0.0,0.0,0.0,0.0,0.0,0.0,5082.697366633,5082.697366633
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3733.5159167,3733.5159167
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1221.6941502000002,1221.6941502000002
-0.0,-1.467083333,-0.60035,-0.0,-1.93385,-0.0,-277.9517667,0.0,-281.953050033
-0.0,-5.669133333,-9.350933333,-1.800166667,-34.60135,-0.000283333,-400.4011,0.0,-451.82296666599996
-271.7002333,-28.50298333,-17.00205,-7.817016667,-15.852216669999999,-8.019583333,-324.6857,0.0,-673.5797833
-1498.900617,-33.92095,-27.26956667,-22.0689,-16.2865,-38.71905,-253.05201669999997,0.0,-1890.2176003699997
-1591.00035,-39.22,-23.47008333,-55.73576667,-27.40343333,-77.4689,-338.0848167,0.0,-2152.38335003
-1404.334317,-36.75298333,-38.2865,-23.83735,-17.15393333,-29.46961667,-265.5518333,0.0,-1815.38653363
-1212.466667,-32.13591667,-42.81986667,-58.70321667,-6.3194,-31.70235,-161.4179833,0.0,-1545.56540031
-0.0,-10.83521667,-1.635216667,-20.00176667,-3.251583333,-0.001683333,-121.0846167,0.0,-156.810083373
-0.0,-11.48345,-6.716833333,-11.7001,-13.0,-4.55,-134.41735,0.0,-181.867733333
-0.0,-12.1334,-12.5667,-13.0,-13.0,-11.2668,-178.2835667,0.0,-240.2504667
-0.0,-7.583566667,-13.0,-11.7001,-12.5667,-10.8335,-208.4501333,0.0,-264.133999967
-0.0,-0.0,-3.466666667,-8.666916667,-11.7001,-13.0,-189.33345,0.0,-226.167133334
-0.0,-0.0,-0.0,-0.0,-3.033483333,-13.0,-201.8670167,0.0,-217.900500033
-0.0,-0.0,-0.0,-0.0,-0.0,-12.35005,-193.0334167,0.0,-205.3834667
-0.0,-0.0,-0.0,-0.0,-0.0,-3.4667,-223.73355,0.0,-227.20025
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-229.10095,0.0,-229.10095
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-214.5518333,0.0,-214.5518333
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-258.53565,0.0,-258.53565
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1464.1070741669982,1464.1070741669982
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3952.7021869970004,3952.7021869970004
0.0,0.0,0.0,0.0,0.0,0.0,0.0,6161.106499994,6161.106499994
0.0,0.0,0.0,0.0,0.0,0.0,0.0,5470.965483334,5470.965483334
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2706.399066633,2706.399066633
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-340.5669667,0.0,-340.5669667
-0.0,-0.0,-0.0,-0.0,-1.000333333,-0.0,-306.9171833,0.0,-307.917516633
-0.0,-6.117866667,-0.266666667,-0.000766667,-3.100466667,-0.000216667,-284.66735,0.0,-294.153333335
-253.06695,-12.68523333,-4.734616667,-4.502766667,-27.18445,-30.46815,-398.7342167,0.0,-731.3763833639999
-1453.00105,-21.38636667,-16.83598333,-66.83558333,-22.68733333,-73.60108333,-316.53425,0.0,-1970.88164999
-1587.66705,-51.73646667,-37.03641667,-49.85341667,-27.13673333,-16.70411667,-228.3014833,0.0,-1998.4356833100003
-1326.0016,-82.63553333,-80.80176667,-23.88646667,-76.6196,-20.67053333,-283.6179333,0.0,-1894.2334333
-1201.633333,-19.93591667,-10.0032,-27.35181667,-37.52051667,-14.38621667,-197.0018167,0.0,-1507.8328163800004
-0.0,-9.217983333,-5.751433333,-18.2687,-28.01873333,-0.001683333,-119.5003667,0.0,-180.75890002900002
-0.0,-9.9668,-10.4002,-13.0,-12.1334,-4.7667,-139.4842667,0.0,-189.7513667
-0.0,-12.5667,-12.1334,-13.0,-11.2668,-13.0,-139.2175167,0.0,-201.18441669999999
-0.0,-12.78335,-11.05015,-13.0,-12.5667,-10.8335,-129.2674667,0.0,-189.5011667
-0.0,-11.7001,-11.2668,-13.0,-10.8335,-7.1501,-135.7005333,0.0,-189.6510333
-0.0,-9.5336,-11.48345,-11.91675,-12.78335,-0.0,-171.9167,0.0,-217.63385
-0.0,-0.0,-10.4002,-6.066783333,-3.68335,-0.0,-182.7502833,0.0,-202.900616633
-0.0,-0.0,-2.166683333,-0.0,-0.0,-0.0,-169.6338667,0.0,-171.800550033
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-235.01845,0.0,-235.01845
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-266.6516833,0.0,-266.6516833
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2802.713141533999,2802.713141533999
0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.87155869999981,39.87155869999981
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1684.5588222999997,1684.5588222999997
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3873.21181681,3873.21181681
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3438.564216667,3438.564216667
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2469.9150833,2469.9150833
0.0,0.0,0.0,0.0,0.0,0.0,0.0,221.24608503299999,221.24608503299999
-0.0,-2.000216667,-0.0,-0.0,-0.0,-0.767283333,-348.5694833,0.0,-351.3369833
-0.0,-2.867266667,-4.785016667,-0.300466667,-0.00065,-2.0003,-462.7183667,0.0,-472.672066701
-70.63376667,-18.38476667,-9.669233333,-18.8341,-2.001933333,-7.070383333,-328.3030167,0.0,-454.897200039
-1359.534317,-38.3521,-23.06978333,-20.16883333,-27.08686667,-76.15226667,-315.3361333,0.0,-1859.7003003000004
-1609.3335,-37.03633333,-63.102816669999996,-38.90338333,-34.06915,-41.33648333,-305.6351833,0.0,-2129.41684996
-1377.667517,-47.96988333,-21.65321667,-16.72063333,-24.11921667,-46.01931667,-281.3688333,0.0,-1815.51861697
