Time,1,2,3,4,5,6,7,8
04/01/18 04,0,12.1334,12.1334,6.50005,9.9669,13,173.6834667,0.000616667
04/01/18 05,0,0.216783333,10.40008333,0,11.7001,11.05015,177.41675,213.599234
04/01/18 06,0,0,0,0,7.15045,8.8836,134.0341167,1838.243696
04/01/18 07,0,0,0,0,2.3835,0,193.0007833,1049.298075
04/01/18 08,0,0,0,0,0,0,241.91795,0.000716667
04/01/18 09,0,0,0,0,0,0,280.20195,560.3559781
04/01/18 10,0,0,0,0,0,0,365.75185,1150.766006
04/01/18 11,0,0,0,0,0,0,316.9676333,1668.256431
04/01/18 12,0,0.00175,22.93418333,0.001433333,0.267633333,0.267316667,265.4510167,852.1525788
04/01/18 13,0,0.002333333,27.80181667,21.33518333,61.40125,6.002783333,266.8347167,0.00125
04/01/18 14,0,0.000133333,0.000516667,0.000866667,5.0002,0.0001,306.1008167,0
04/01/18 15,0,0,0,0,0,0,263.5840833,0
04/01/18 16,0,0,0,0,1.43385,0,322.3678,681.8041998
04/01/18 17,0,1.467083333,0.60035,0,1.93385,0,277.9517667,1281.007023
04/01/18 18,0,5.669133333,9.350933333,1.800166667,34.60135,0.000283333,400.4011,684.409035
04/01/18 19,271.7002333,28.50298333,17.00205,7.817016667,15.85221667,8.019583333,324.6857,3.33E-05
04/01/18 20,1498.900617,33.92095,27.26956667,22.0689,16.2865,38.71905,253.0520167,0
04/01/18 21,1591.00035,39.22,23.47008333,55.73576667,27.40343333,77.4689,338.0848167,0
04/01/18 22,1404.334317,36.75298333,38.2865,23.83735,17.15393333,29.46961667,265.5518333,0
04/01/18 23,1212.466667,32.13591667,42.81986667,58.70321667,6.3194,31.70235,161.4179833,0
05/01/18 00,0,10.83521667,1.635216667,20.00176667,3.251583333,0.001683333,121.0846167,0
05/01/18 01,0,11.48345,6.716833333,11.7001,13,4.55,134.41735,0
05/01/18 02,0,12.1334,12.5667,13,13,11.2668,178.2835667,0
05/01/18 03,0,7.583566667,13,11.7001,12.5667,10.8335,208.4501333,0
05/01/18 04,0,0,3.466666667,8.666916667,11.7001,13,189.33345,174.457195
05/01/18 05,0,0,0,0,3.033483333,13,201.8670167,3199.259887
