Time,1,2,3,4,5,6
01/01/18 00,0.0019666666666666665,36.518383333333325,2.184516666666667,96.53526666666669,136.55096666666668,116.88686666666668
01/01/18 01,8.233483333333334,11.48345,6.933633333333333,69.75026666666666,185.167,127.78396666666666
01/01/18 02,10.183549999999999,13.0,12.350050000000001,87.11670000000001,115.66750000000002,186.85013333333333
01/01/18 03,13.0,10.616850000000001,13.0,82.56678333333333,159.61724999999998,182.85031666666666
01/01/18 04,13.0,9.533600000000002,11.7001,86.90003333333334,173.38349999999997,191.56691666666666
01/01/18 05,13.0,11.7001,10.4002,40.30025,172.5667,197.41666666666666
01/01/18 06,4.983533333333333,11.483366666666665,3.3333333333333335e-05,118.58400000000002,167.11684999999997,220.90040000000002
01/01/18 07,0.0,0.0,0.0,135.00028333333333,203.13380000000004,209.33336666666668
01/01/18 08,0.0,0.0,0.0,135.0,253.93441666666664,205.0
01/01/18 09,0.0,0.0,0.0,135.0,336.15201666666667,174.50025
01/01/18 10,0.0,0.0,0.0,135.0,279.60296666666665,237.5
01/01/18 11,0.0,0.0,0.0,84.58366666666667,295.33520000000004,245.20108333333334
01/01/18 12,0.0014000000000000004,0.1342833333333333,8.868149999999998,75.0003,309.5362333333333,267.80193333333335
01/01/18 13,0.0028833333333333332,6.935466666666668,3.0020499999999997,135.0,274.00165,336.4009666666667
01/01/18 14,0.0002666666666666667,0.0006333333333333333,0.0001,135.0,286.4671833333333,281.0018166666667
01/01/18 15,0.0,0.0,0.0,135.0,258.0008833333333,270.0009
01/01/18 16,0.0,0.0,0.0,135.0,314.58488333333327,243.41678333333337
01/01/18 17,1.6666666666666667e-05,0.0,0.0,135.0,334.18565,197.83353333333335
01/01/18 18,22.001749999999998,0.06793333333333335,0.5010333333333334,138.26678333333336,363.91773333333333,276.7017833333333
01/01/18 19,62.901033333333345,8.252433333333334,21.01743333333333,178.03515000000004,326.15281666666664,294.5683333333334
01/01/18 20,37.65248333333333,21.63576666666666,22.56994999999999,216.81939999999997,312.50176666666664,249.70346666666669
