Battery 1,Battery 2,Battery 3,Battery 4
60.0,56.42594973180076,56.25473210727969,56.25473210727969
60.0,52.66179524904214,52.56751816091954,52.56751816091954
60.0,48.75220505747126,49.18681670498084,49.18681670498084
60.0,44.50713655172413,45.081363984674326,45.081363984674326
59.99999478926897,40.0373972413793,41.001820229885055,41.001820229885055
38.358559184671265,35.941912950191565,37.12151003831418,37.12151003831418
2.0490168582344808,31.132090574712638,33.65022727969349,33.65022727969349
5.364878927199998,27.025110191570874,31.8754675862069,31.439605517241382
18.513067279383908,25.23015770114942,32.72643049808429,32.176545440613026
35.25569267708505,29.124849501915705,36.061223141762454,39.880073716475096
42.47339410880919,33.8233662835249,38.66607157088123,48.15250835249042
59.924059748349414,35.70793379310344,48.72394206896552,52.686240919540225
100.0,45.75426618482758,58.57159249042146,60.905385593869724
100.0,71.9861037323862,71.62443417624522,63.99592842911877
100.0,75.011666950777,92.37485747154024,100.0
100.0,100.0,100.0,100.0
100.0,99.79094252873563,100.0,100.0
83.19953512643679,95.23475065134099,95.21777103448275,96.78420781609195
81.12055269333334,87.8650309578544,89.66964429118774,91.23608107279694
81.12055269333334,79.6725969348659,83.59911601532566,85.16555279693486
81.12055269333334,71.75643295019157,77.11690038314175,78.68333716475095
81.12055269333334,64.88729241379309,71.0243725670498,72.590809348659
81.12055269333334,57.365467432950176,64.71393195402297,66.28036873563217
81.12055269333334,53.280419770114925,60.29594743295017,61.86238421455937
81.12055269333334,49.436928122605345,56.529385287356305,58.095822068965504
81.12055269333334,45.59859264367814,53.10055218390803,54.66698896551723
81.12055269333334,41.281037394635995,48.90391386973178,50.47035065134098
81.12055269333334,37.977572413793084,44.798307432950175,46.36474421455937
81.12054549027127,33.680241379310324,40.90037011494251,42.46680689655171
68.41016945348966,29.333560306513387,36.51201164750956,38.07844842911876
33.14143032705287,24.299984521072773,32.36164888888887,33.90187877394634
18.077656956937933,20.099499616858214,29.753163984674313,31.204198467432935
38.7556341219954,18.56340597701147,30.319081226053623,33.17241455938696
62.74698028291495,22.49795494252871,38.04927417624519,42.39869946360152
76.9227322341793,29.33993333333331,46.141469885057454,55.024688275862054
100.0,52.27822034115247,61.13680306513408,69.54921685823753
100.0,100.0,90.8512213994176,83.43946865900381
100.0,100.0,100.0,100.0
100.0,100.0,100.0,100.0
100.0,100.0,100.0,100.0
100.0,98.17147770114943,95.3448219157088,100.0
65.66640403678161,92.60440873563219,90.82879877394635,96.97409180076629
50.68757885057472,84.8023685823755,85.67485210727968,91.82014513409962
50.68757333333334,76.8163903448276,79.35881195402297,85.50410498084291
50.68757333333334,69.34222375478929,72.85421701149423,78.99951003831417
50.68757333333334,61.175951111111125,65.64354590038312,71.78883892720306
50.68757333333334,54.52753072796936,59.37447187739461,65.51976490421455
50.68757333333334,49.25779984674331,55.87711923371645,62.02241226053639
50.68757333333334,44.72220229885059,53.352083065134075,59.49737609195402
50.68757333333334,40.40019770114944,49.62501747126434,55.770310498084285
50.68757333333334,35.71483141762453,45.51895432950189,51.66424735632183
50.68757333333334,31.114975325670507,41.10331203065131,47.24860505747125
50.68757042145288,26.367689961685834,37.07847616858234,43.223769195402284
50.39039973455633,20.97779632183909,33.19663310344824,39.341926130268185
50.390381343751734,16.141460229885066,28.94435524904211,35.089648275862054
37.80279990926897,12.217298850574721,26.225821609195368,32.10950544061301
57.17275071386668,12.814670344827595,24.804293180076595,35.23188505747125
