Battery 1,Battery 2,Battery 3,Battery 4
-0.0,-0.00038867796666666667,-0.0004072978833333335,-0.0004072978833333335
-0.0,-0.00040935179999999997,-0.0004009845166666667,-0.0004009845166666667
-0.0,-0.00042516793333333337,-0.00036765128333333323,-0.00036765128333333323
-0.0,-0.00046165119999999995,-0.0004464679833333333,-0.0004464679833333333
-5.666669999999999e-10,-0.00048608414999999996,-0.0004436503833333333,-0.0004436503833333333
-0.002353506122,-0.00044538391666666655,-0.00042198373333333326,-0.00042198373333333326
-0.003948662728,-0.0005230681833333333,-0.00037750200000000005,-0.00037750200000000005
0.0003606,-0.0004466341166666667,-0.00019300511666666664,-0.00024040511666666663
0.0014298654833,-0.00019520108333333333,9.254221666666669e-05,8.01422166666666e-05
0.0018207605119999995,0.0004235477333333333,0.0003626587,0.0008377586999999999
0.0007849250306999995,0.0005109637,0.0002832772666666666,0.0008996272666666666
0.0018977598882999995,0.00020494671666666667,0.0010937934166666667,0.0004930434166666665
0.004358258502367001,0.0010925386475999993,0.0010709319833333332,0.0008938319833333333
0.0,0.002852712333297,0.0014194965333333334,0.00033609653333333336
0.0,0.0003290300000000001,0.002256608533363333,0.003915442783333333
0.0,0.0027174812191030013,0.000829234249969999,0.0
0.0,-2.2734999999999964e-05,0.0,0.0
-0.0018270505550000002,-0.0004954858666666666,-0.0005200674000000001,-0.00034971740000000007
-0.0002260893396,-0.0008014570166666667,-0.0006033587833333333,-0.0006033587833333333
-0.0,-0.0008909272000000002,-0.00066016995,-0.00066016995
-0.0,-0.0008608828333333333,-0.0007049409500000001,-0.0007049409500000001
-0.0,-0.0007470190333333335,-0.0006625624000000001,-0.0006625624000000001
-0.0,-0.0008179984666666667,-0.0006862604166666668,-0.0006862604166666668
-0.0,-0.0004442489333333332,-0.0004804558166666666,-0.0004804558166666666
-0.0,-0.0004179797166666666,-0.0004096136333333333,-0.0004096136333333333
-0.0,-0.0004174189833333334,-0.0003728856,-0.0003728856
-0.0,-0.0004695341333333333,-0.00045638441666666666,-0.00045638441666666666
-0.0,-0.00035925181666666674,-0.0004464847,-0.0004464847
-7.833329999999999e-10,-0.00046733474999999995,-0.00042390068333333344,-0.00042390068333333344
-0.0013822533940000001,-0.00047270156666666673,-0.0004772339833333333,-0.0004772339833333333
-0.00383547538,-0.0005474013666666667,-0.00045135195,-0.00045420195
-0.0016381853539999998,-0.0004568027333333333,-0.0002836727333333333,-0.0002933727333333333
0.0022487300167,-0.0001670501833333334,6.154350000000001e-05,0.00021404349999999998
0.0026090588950000004,0.00042788219999999994,0.0008406584833333331,0.0010033584833333332
0.0015416130246999997,0.0007440651500000002,0.0008800262833333334,0.0013730762833333333
0.002509652869533,0.0024945387121003333,0.0016307424833333331,0.0015795424833333332
0.0,0.0051897435378996685,0.0032314429938533323,0.0015105648833333332
0.0,0.0,0.0009949296728133362,0.0018009577833333356
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,-0.00019885180000000005,-0.0005062506166666667,0.0
-0.003733778561,-0.0006054187500000001,-0.0004911175166666667,-0.00032906751666666664
-0.001628947239,-0.0008484718666666667,-0.0005604917000000001,-0.0005604917000000001
-6e-10,-0.0008684751333333334,-0.0006868693666666666,-0.0006868693666666666
-0.0,-0.0008128156166666667,-0.0007073747,-0.0007073747
-0.0,-0.0008880821500000002,-0.0007841604833333335,-0.0007841604833333335
-0.0,-0.0007230157166666667,-0.0006817618000000001,-0.0006817618000000001
-0.0,-0.0005730832333333333,-0.00038033710000000005,-0.00038033710000000005
-0.0,-0.0004932462333333333,-0.00027459768333333335,-0.00027459768333333335
