Time,1,2,3,4,5,6,7,8
01/01/18 00,11.3182,10.185316666666665,12.318266666666666,11.11795,0.0004166666666666667,18.200533333333333,6.7170499999999995,337.44015000000013
01/01/18 01,13.0,13.0,11.483450000000001,5.633416666666665,5.200050000000001,24.916666666666668,15.383466666666667,312.3674666666667
01/01/18 02,13.0,13.0,11.2668,12.1334,12.1334,12.78335,10.833499999999999,282.50083333333333
01/01/18 03,9.100100000000001,11.7001,8.8835,13.0,11.917016666666665,14.733466666666667,15.816766666666666,361.3170333333333
01/01/18 04,0.0,1.3000166666666668,0.0,11.05015,23.833416666666665,0.0,1.3000166666666668,406.16678333333334
01/01/18 05,0.0,0.0,0.0,12.1334,11.91675,0.0,0.0,397.93358333333333
01/01/18 06,0.0,0.0,0.0,0.0,7.950766666666665,0.0,0.0005666666666666667,369.5506666666667
01/01/18 07,0.0,0.0,0.0,0.0,0.0014500000000000003,0.0013666666666666669,0.0018500000000000003,368.75044999999994
01/01/18 08,0.0,0.0,0.0,0.0,0.0025833333333333333,4.668633333333331,0.0027,436.5838666666667
01/01/18 09,0.0,0.0,0.0,0.0,0.003,0.003,28.668466666666664,539.1668333333333
01/01/18 10,0.0,0.0,0.0,0.0,19.00268333333333,52.00133333333335,48.93515,509.58356666666674
01/01/18 11,1.6666666666666667e-05,0.0,0.0,0.0,49.93555,24.66746666666667,26.835599999999992,496.4179500000001
01/01/18 12,35.00130000000001,41.20095000000001,40.53420000000001,2.00245,20.168983333333326,0.0020833333333333333,0.0027333333333333333,524.2053166666668
01/01/18 13,15.468999999999998,0.26865,30.7349,0.003,1.8689833333333334,0.40223333333333344,1.4694833333333335,585.5872166666666
01/01/18 14,25.000116666666667,0.00013333333333333334,0.0009333333333333333,0.0011833333333333335,0.9338,3.3333333333333335e-05,0.0006000000000000001,471.4364666666667
01/01/18 15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,498.7505
01/01/18 16,0.0,0.0,0.2005666666666666,0.0,0.0,0.0,0.0,485.83376666666663
01/01/18 17,0.0,0.0,2.93365,0.0,0.0,1.6666666666666667e-05,0.0,568.3837333333335
01/01/18 18,8.666816666666668,13.667049999999998,1.8015499999999998,9.750399999999997,6.934300000000002,23.850366666666666,3.735633333333333,534.9526666666667
01/01/18 19,13.383416666666665,22.368899999999996,4.1517333333333335,15.069433333333336,32.470033333333326,52.90198333333334,21.369216666666667,498.4552333333334
01/01/18 20,16.135416666666668,59.402650000000015,16.803233333333335,59.98561666666669,38.620566666666676,42.3696,42.06881666666667,429.55505000000005
01/01/18 21,27.103266666666666,22.853349999999992,44.61943333333334,52.66973333333333,42.3368,16.120899999999995,34.23701666666666,422.6219000000001
01/01/18 22,32.33575,28.702916666666667,15.719949999999999,17.686916666666665,61.23661666666668,13.85341666666667,41.503533333333344,475.2213166666668
01/01/18 23,26.936099999999996,7.8024999999999975,13.900966666666667,32.60335,16.63616666666667,15.585166666666664,13.68618333333333,353.3053833333333
02/01/18 00,13.901216666666668,25.134633333333337,27.101733333333335,19.63471666666667,20.7503,0.00026666666666666673,13.633933333333333,289.45683333333335
02/01/18 01,11.91675,12.78335,11.05015,13.0,19.716883333333335,16.466866666666665,16.46675,271.48485
02/01/18 02,11.916750000000002,13.0,11.48345,12.78335,12.566699999999999,11.05015,12.566816666666666,371.0172
02/01/18 03,12.35005,12.566699999999999,12.350050000000001,10.18355,13.0,17.550166666666662,12.783483333333333,355.70070000000004
02/01/18 04,12.566699999999999,13.0,4.766716666666667,12.566699999999999,13.866766666666669,12.78335,5.633483333333333,348.71696666666674
02/01/18 05,2.16675,12.78335,0.0,10.183516666666666,8.016816666666667,13.0,0.0,431.08355
02/01/18 06,0.0,9.750100000000002,0.0,0.0,0.0001666666666666667,7.367450000000001,13.000449999999999,424.0837833333333
02/01/18 07,0.0,0.0,0.0,0.0,0.0011500000000000002,2.0017500000000004,1.0019833333333337,441.16785
02/01/18 08,0.0,0.0,0.0,0.0,49.66806666666667,21.269033333333322,0.0025666666666666667,503.4168333333334
02/01/18 09,0.0,0.0,0.0,0.0,2.935966666666666,6.2695333333333325,3.2025999999999986,542.8334166666667
02/01/18 10,0.0,0.0,0.0,0.0,0.0027333333333333333,11.5351,0.002316666666666667,553.8335666666667
02/01/18 11,0.0,0.0,0.0,0.0,0.0033,0.00046666666666666666,0.0013500000000000003,487.9524
02/01/18 12,14.868033333333331,0.8016166666666664,0.0017666666666666668,0.0025000000000000005,7.502883333333331,0.0017666666666666668,0.003,568.6535500000001
02/01/18 13,6.268566666666667,13.069099999999997,0.0029333333333333334,40.33541666666667,19.002066666666664,0.0019666666666666665,0.8020499999999998,561.3050833333333
02/01/18 14,0.00011666666666666667,1.0670499999999998,0.00016666666666666666,0.0004166666666666667,24.00026666666667,0.0,0.00028333333333333335,541.0024000000001
02/01/18 15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,526.6672666666667
02/01/18 16,0.0,1.6001833333333333,0.0,0.0,0.0,0.00043333333333333337,0.0,540.0
02/01/18 17,0.0,4.0,0.0,0.0,1.6667166666666666,5.4001,0.0,481.70070000000004
02/01/18 18,0.0,18.316899999999997,0.0020333333333333336,0.0015833333333333333,9.101049999999997,4.500649999999999,2.1008,526.4686833333334
02/01/18 19,9.3168,15.885550000000004,64.76855,1.7364500000000003,14.502466666666667,13.319250000000002,10.002433333333336,557.3378666666666
02/01/18 20,33.634499999999996,48.30309999999999,33.686433333333326,3.6700166666666663,18.61948333333333,22.203133333333327,47.303266666666666,499.9547666666667
